Time,Ay,Vx,Station,Cronometro,AV_Eng,AV_TC,AV_Trans
        7.667, -1.99700462818, 48.1143569946, 94.7068557739, 2.79200005531, 13627.2460938, 13627.2460938, 2672.19799805
        7.668, -1.9969419241, 48.1143531799, 94.7202377319, 2.79299998283, 13627.2480469, 13627.2480469, 2672.19995117
        7.669, -1.99688124657, 48.1143493652, 94.7336196899, 2.79399991035,      13627.25,      13627.25, 2672.20166016
         7.67, -1.99682283401, 48.1143455505, 94.7470016479, 2.79500007629, 13627.2519531, 13627.2519531,   2672.203125
        7.671, -1.99676668644, 48.1143379211,  94.760383606, 2.79600000381, 13627.2539062, 13627.2539062,  2672.2043457
        7.672, -1.99671304226, 48.1143302917,  94.773765564, 2.79699993134, 13627.2558594, 13627.2558594, 2672.20532227
        7.673, -1.99666190147, 48.1143226624,  94.787147522, 2.79800009727, 13627.2587891, 13627.2587891, 2672.20605469
        7.674, -1.99661338329,  48.114315033,   94.80052948,  2.7990000248, 13627.2617188, 13627.2617188, 2672.20629883
        7.675, -1.99656748772, 48.1143074036,  94.813911438, 2.79999995232, 13627.2636719, 13627.2636719, 2672.20654297
        7.676, -1.99652457237, 48.1142997742,  94.827293396, 2.80100011826, 13627.2666016, 13627.2666016, 2672.20654297
        7.677, -1.99648416042, 48.1142883301,  94.840675354, 2.80200004578, 13627.2695312, 13627.2695312, 2672.20629883
        7.678, -1.9964466095,  48.114276886,  94.854057312,  2.8029999733, 13627.2724609, 13627.2724609, 2672.20581055
        7.679, -1.99641227722, 48.1142654419, 94.8674316406, 2.80399990082, 13627.2753906, 13627.2753906, 2672.20483398
         7.68, -1.99638092518, 48.1142539978, 94.8808135986, 2.80500006676, 13627.2792969, 13627.2792969, 2672.20385742
        7.681,  -1.996352911, 48.1142425537, 94.8941955566, 2.80599999428, 13627.2822266, 13627.2822266, 2672.20263672
        7.682, -1.99632799625, 48.1142311096, 94.9075775146,  2.8069999218, 13627.2851562, 13627.2851562, 2672.20117188
        7.683, -1.99630641937, 48.1142196655, 94.9209594727, 2.80800008774, 13627.2890625, 13627.2890625, 2672.19921875
        7.684, -1.99628818035, 48.1142082214, 94.9343414307, 2.80900001526, 13627.2919922, 13627.2919922, 2672.19726562
        7.685, -1.9962733984, 48.1141967773, 94.9477233887, 2.80999994278, 13627.2958984, 13627.2958984, 2672.19506836
        7.686, -1.99626195431, 48.1141815186, 94.9611053467, 2.81100010872, 13627.2988281, 13627.2988281, 2672.19262695
        7.687, -1.99625384808, 48.1141700745, 94.9744873047, 2.81200003624, 13627.3027344, 13627.3027344, 2672.18994141
        7.688, -1.99624931812, 48.1141586304, 94.9878692627, 2.81299996376, 13627.3056641, 13627.3056641, 2672.18725586
        7.689, -1.99624812603, 48.1141433716, 95.0012512207, 2.81399989128, 13627.3095703, 13627.3095703, 2672.18408203
         7.69, -1.99625039101, 48.1141319275, 95.0146331787, 2.81500005722, 13627.3134766, 13627.3134766,  2672.1809082
        7.691, -1.99625611305, 48.1141204834, 95.0280151367, 2.81599998474, 13627.3164062, 13627.3164062, 2672.17749023
        7.692, -1.99626541138, 48.1141090393, 95.0413970947, 2.81699991226, 13627.3203125, 13627.3203125, 2672.17382812
        7.693, -1.99627792835, 48.1140937805, 95.0547790527,  2.8180000782, 13627.3232422, 13627.3232422, 2672.16992188
        7.694, -1.9962939024, 48.1140823364, 95.0681533813, 2.81900000572, 13627.3271484, 13627.3271484, 2672.16601562
        7.695, -1.99631333351, 48.1140708923, 95.0815353394, 2.81999993324, 13627.3310547, 13627.3310547, 2672.16186523
        7.696, -1.99633598328, 48.1140594482, 95.0949172974, 2.82100009918, 13627.3339844, 13627.3339844,  2672.1574707
        7.697, -1.9963619709, 48.1140518188, 95.1082992554,  2.8220000267, 13627.3378906, 13627.3378906, 2672.15307617
        7.698, -1.99639117718, 48.1140403748, 95.1216812134, 2.82299995422, 13627.3408203, 13627.3408203,  2672.1484375
        7.699, -1.9964236021, 48.1140289307, 95.1350631714, 2.82399988174, 13627.3447266, 13627.3447266, 2672.14379883
          7.7, -1.99645912647, 48.1140213013, 95.1484451294, 2.82500004768, 13627.3476562, 13627.3476562, 2672.13891602
        7.701, -1.99649763107, 48.1140098572, 95.1618270874,  2.8259999752, 13627.3515625, 13627.3515625,  2672.1340332
        7.702, -1.99653923512, 48.1140022278, 95.1752090454, 2.82699990273, 13627.3544922, 13627.3544922, 2672.12915039
        7.703, -1.99658358097, 48.1139945984, 95.1885910034, 2.82800006866, 13627.3574219, 13627.3574219, 2672.12402344
